,title,author,publication_date,format,current_price,original_price
64,Daisy Jones and The Six,Taylor Jenkins Reid,09 Jan 2020,Paperback,US$11.94,
65,Ugly Love,Colleen Hoover,21 Jan 2016,Paperback,US$9.81,US$13.00
66,Gothikana: A Dark Academia Gothic Romance: TikTok Made Me Buy it!,RuNyx,16 Mar 2023,Paperback,US$12.94,
67,Twisted Hate,Ana Huang,05 May 2022,Paperback,US$11.27,US$12.05
68,All About Love,Bell Hooks,30 Jan 2018,Paperback,US$12.32,US$16.99
69,The Art of War,Sun Tzu,14 Oct 2011,Paperback,US$4.46,US$6.00
70,The Concise 48 Laws Of Power,Robert Greene,13 Jun 2002,Paperback,US$9.67,US$15.50
71,The Herbal Astrology Oracle,Adriana Ayales,18 Oct 2022,Cards,US$17.15,US$26.99
72,Foster,Claire Keegan,18 Aug 2022,Paperback,US$9.31,US$10.84
73,Leviathan Falls,James S. A. Corey,09 Feb 2023,Paperback,US$12.11,US$13.26
74,If We Were Villains: The Sensational TikTok Book Club pick,M. L. Rio,13 Jun 2017,Paperback,US$11.72,
75,No Bad Parts,Richard C. Schwartz,06 Jul 2021,Paperback,US$13.26,US$19.99
76,Magnolia Parks,Jessa Hastings,01 Dec 2022,Paperback,US$18.00,
77,The Thursday Murder Club,Richard Osman,13 May 2021,Paperback,US$10.83,
78,1984,George Orwell,01 Oct 2008,Paperback,US$10.32,US$17.75
79,The Last Hours: Chain of Thorns,Cassandra Clare,31 Jan 2023,Hardback,US$20.96,
80,How to Meet Your Self,Nicole LePera,08 Dec 2022,Paperback,US$20.14,US$24.12
81,Die With Zero,Bill Perkins,16 Aug 2021,Paperback,US$17.28,US$18.99
82,"Chainsaw Man, Vol. 4",Tatsuki Fujimoto,27 May 2021,Paperback,US$9.35,US$9.99
83,The Invisible Life of Addie LaRue - Illustrated edition,V.E. Schwab,01 Oct 2022,Hardback,US$21.22,US$22.90
84,Girl in Pieces,Kathleen Glasgow,06 Oct 2016,Paperback,US$11.97,
85,A Good Girl's Guide to Murder,Holly Jackson,17 Oct 2019,Paperback,US$10.89,
86,No Longer Human,Osamu Dazai,01 Jan 2020,Paperback,US$12.84,US$14.95
87,The Invisible String,Patrice Karst,06 Dec 2018,Paperback,US$9.92,
88,Breath,James Nestor,08 Jul 2021,Paperback,US$12.29,US$13.26
89,King of Wrath,Ana Huang,01 Dec 2022,Paperback,US$10.64,US$12.05
90,8 Rules of Love,Jay Shetty,31 Jan 2023,Hardback,US$22.83,US$24.12
91,Cold Enough for Snow,Jessica Au,23 Feb 2022,Paperback,US$10.92,US$15.00
92,The Things We Leave Unfinished,Rebecca Yarros,24 Nov 2022,Paperback,US$11.46,
93,Better Than the Movies,Lynn Painter,04 Aug 2022,Paperback,US$11.15,US$12.99
94,Bobby Fischer Teaches Chess,Bobby Fischer,01 Oct 1992,Paperback,US$8.99,
95,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,15 Feb 2022,Paperback,US$15.94,US$19.99
96,Heartstopper Volume 1,Alice Oseman,02 Feb 2023,Hardback,US$16.61,US$20.49
97,Chip War,Chris Miller,04 Oct 2022,Paperback,US$19.43,
98,The Man Who Died Twice,Richard Osman,12 May 2022,Paperback,US$11.17,
99,The Virgin Suicides,Jeffrey Eugenides,13 May 2021,Paperback,US$10.76,
100,"My Hero Academia, Vol. 33",Kohei Horikoshi,16 Mar 2023,Paperback,US$10.36,
101,Strong Female Character,Fern Brady,16 Feb 2023,Hardback,US$16.18,US$20.49
102,Ramadan Reflections,Aliyah Umm Raiyaan,02 Mar 2023,Paperback,US$14.02,US$15.67
103,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3,Mo Xiang Tong Xiu,16 Aug 2022,Paperback,US$17.69,US$19.99
104,Never Finished,David Goggins,06 Dec 2022,Paperback,US$29.84,
105,The Mysteries,Bill Watterson,23 Nov 2023,Hardback,US$17.89,US$19.99
106,Meditations,Marcus Aurelius,06 Feb 2019,Paperback,US$9.22,US$11.00
