,title,author,publication_year,format,current_price,original_price
108,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Manhua) Vol. 1,Mo Xiang Tong Xiu,2023,Paperback,17.89,19.99
109,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3,Mo Xiang Tong Xiu,2022,Paperback,16.39,19.99
110,This is How You Lose the Time War,Amal El-Mohtar,2019,Paperback,8.65,13.24
111,Once Upon A Broken Heart,Stephanie Garber,2022,Paperback,10.67,10.83
112,All About Love,bell hooks,2018,Paperback,12.42,16.99
113,Surrounded by Idiots,Thomas Erikson,2019,Paperback,12.28,13.24
114,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,2022,Paperback,17.2,19.99
115,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,Mo Xiang Tong Xiu,2023,Paperback,17.89,19.99
116,Crooked Kingdom Collector's Edition,Leigh Bardugo,2019,Hardback,18.99,20.47
117,The Four Agreements,Don Miguel Ruiz,1997,Paperback,11.71,12.95
118,Heaven Official's Blessing,Mo Xiang Tong Xiu,2021,Paperback,16.15,19.99
119,Tales from the Cafe,Toshikazu Kawaguchi,2020,Paperback,10.98,12.03
122,Conversations on Love,Natasha Lunn,2022,Paperback,12.38,13.24
123,Una Luz En La Llama,Jennifer Armentrout,2023,Paperback,19.62,21.92
124,Six of Crows: Collector's Edition,Leigh Bardugo,2018,Hardback,20.09,20.47
125,The Herbal Astrology Oracle,Adriana Ayales,2022,Cards,17.13,26.99
128,"The Angel Next Door Spoils Me Rotten, Vol. 5 (light novel)",Saekisan,2023,Paperback,13.06,15.0
129,Cold Enough for Snow,Jessica Au,2022,Paperback,12.05,15.0
131,The Mysteries,Bill Watterson,2023,Hardback,17.89,19.99
133,The Science of Stuck: Breaking Through Inertia to Find Your Path Forward,Britt Frank,2022,Paperback,14.09,18.06
135,The Bell Jar,Sylvia Plath,2011,Paperback,10.84,12.95
136,You Hung the Moon,Jessica Urlichs,2023,Hardback,16.1,17.99
139,Thousand Autumns: Qian Qiu (Novel) Vol. 1,Meng Xi Shi,2023,Paperback,17.89,19.99
141,The Very Hungry Caterpillar: Little Learning Library,Eric Carle,2011,Board book,9.61,11.0
142,"Toilet-bound Hanako-kun, Vol. 17",Aidalro,2023,Paperback,10.57,13.0
