,title,author,publication_year,format,current_price,original_price
524,The Concise Laws of Human Nature,Robert Greene,2020,Paperback,10.36,12.03
527,In the Realm of Hungry Ghosts,Gabor Maté,2018,Paperback,14.98,15.65
529,It's Ok That You're Not Ok,Megan Devine,2017,Paperback,15.7,16.95
530,On Earth We're Briefly Gorgeous,Ocean Vuong,2020,Paperback,11.14,12.03
533,Range,David Epstein,2020,Paperback,12.66,13.24
534,Dune Messiah,Frank Herbert,2018,Paperback,10.6,12.03
535,Wyrd Sisters,Terry Pratchett,2014,Hardback,14.12,18.06
536,Violet Bent Backwards Over the Grass,Lana Del Rey,2020,Hardback,18.76,20.47
537,On Writing,Stephen King,2020,Paperback,9.73,19.75
538,Expecting Better,Emily Oster,2018,Paperback,9.61,12.03
540,The Girl Who Never Made Mistakes,Gary Rubinstein,2011,Hardback,12.68,16.99
541,"Medical Medium Brain Saver Protocols, Cleanses & Recipes",Anthony William,2022,Hardback,31.49,44.99
542,Artpreneur,Miriam Schulman,2023,Paperback,18.51,19.99
543,After I Do,Taylor Jenkins Reid,2023,Paperback,10.08,10.83
544,A Psalm for the Wild-Built,Becky Chambers,2021,Hardback,18.38,20.99
545,Extreme Ownership,Jocko Willink,2017,Hardback,20.13,27.99
547,The Way I Used to Be,Amber Smith,2023,Paperback,10.67,10.83
550,Toxic Superfoods,Sally Norton,2023,Paperback,16.81,18.0
554,One Dark Window,Rachel Gillig,2022,Paperback,10.77,12.03
556,The World,Simon Sebag Montefiore,2022,Hardback,37.87,42.16
562,Raising Boys in the 21st Century,Steve Biddulph,2018,Paperback,14.97,15.65
564,"Oh, The Places You'll Go!",Dr. Seuss,2017,Paperback,10.14,15.5
565,"Men Are from Mars, Women Are from Venus",John Gray,2018,Paperback,11.54,12.03
567,Your Next Five Moves,Patrick Bet-David,2021,Paperback,12.59,17.99
568,"Alya Sometimes Hides Her Feelings in Russian, Vol. 2",Sunsunsun,2023,Paperback,13.0,15.0
569,"Spy x Family, Vol. 4",Tatsuya Endo,2021,Paperback,8.63,9.99
570,"Spy x Family, Vol. 2",Tatsuya Endo,2020,Paperback,8.66,9.99
571,A Certain Hunger,Chelsea G Summers,2021,Paperback,16.42,18.0
572,The Girl Who Drank the Moon,Kelly Barnhill,2017,Paperback,8.59,9.63
573,The Culture Code,Daniel Coyle,2019,Paperback,12.21,13.24
575,Poetry Unbound,Pádraig Ó Tuama,2022,Hardback,22.05,24.09
576,The Beekeeper of Aleppo,Christy Lefteri,2020,Paperback,9.14,10.83
578,The Starseed Oracle,Rebecca Campbell,2020,Cards,17.48,24.99
580,How to make the best coffee at home,James Hoffmann,2022,Hardback,17.5,19.99
584,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 20,Rifujin Na Magonote,2023,Paperback,12.34,13.99
586,The Untethered Soul,Michael A. Singer,2013,Hardback,19.6,24.95
588,The Noma Guide to Fermentation (Foundations of Flavor),Rene Redzepi,2018,Hardback,31.45,40.0
590,The Girl Who Fell Beneath the Sea,Axie Oh,2022,Hardback,18.18,20.47
591,Things We Do Not Tell the People We Love,Huma Qureshi,2022,Paperback,10.1,12.03
592,Where the Light Fell,Philip Yancey,2022,Paperback,10.42,13.24
593,Rita Hayworth and Shawshank Redemption,Stephen King,2020,Paperback,7.35,9.63
597,Short Stories in French for Beginners,Olly Richards,2018,Paperback,10.13,14.99
598,Arcanum Unbounded,Brandon Sanderson,2017,Paperback,12.89,13.24
599,Bright Dead Things,Ada Limon,2019,Paperback,9.66,13.24
602,Harry Potter and the Philosopher's Stone,J. K. Rowling,2014,Paperback,9.89,15.64
603,Find Me,Tahereh Mafi,2019,Paperback,10.09,10.83
605,An Irish Atlantic Rainforest,Eoghan Daltun,2022,Hardback,18.47,20.47
608,One Up On Wall Street,Peter Lynch,2018,Paperback,13.29,18.99
609,Ariel,Sylvia Plath,2010,Hardback,14.27,14.95
610,The Remains of the Day,Kazuo Ishiguro,2010,Paperback,11.05,12.03
612,"The Boy Who Was Raised as a Dog, 3rd Edition",Bruce D. Perry,2017,Paperback,16.93,18.99
613,Polyvagal Exercises for Safety and Connection,Deb Dana,2020,Paperback,19.75,27.5
615,Jade City,Fonda Lee,2018,Paperback,11.42,12.03
616,Signs,Laura Lynne Jackson,2019,Paperback,14.36,18.06
617,Taste,Stanley Tucci,2022,Paperback,11.74,12.03
619,Games People Play,Eric Berne,2016,Paperback,10.71,12.03
620,Roald Dahl Magical Gift Set (4 Books),Roald Dahl,2010,Paperback,28.68,31.96
622,Antifragile,Nassim Nicholas Taleb,2013,Paperback,15.3,15.65
623,Crime and Punishment,Fyodor Dostoyevsky,2021,Paperback,12.62,16.0
624,Persepolis I & II,Marjane Satrapi,2011,Paperback,12.99,17.75
625,Brave New World,Aldous Huxley,2011,Paperback,11.31,12.03
626,The End of the World Is Just the Beginning,Peter Zeihan,2022,Hardback,27.87,37.5
631,"The Angel Next Door Spoils Me Rotten, Vol. 1 (light novel)",Saekisan,2020,Paperback,14.79,15.0
633,Demon Slayer Complete Box Set,Koyoharu Gotouge,2021,Paperback,186.0,199.99
634,"Jujutsu Kaisen, Vol. 2",Gege Akutami,2020,Paperback,9.69,9.99
639,Maybe You Should Talk to Someone,Lori Gottlieb,2022,Paperback,12.89,13.24
642,The Wim Hof Method,Wim Hof,2022,Paperback,10.94,12.03
643,Man's Search For Meaning,Viktor E Frankl,2004,Paperback,11.73,12.03
645,Killer in the Kremlin,John Sweeney,2023,Paperback,11.03,19.99
647,The Dinner Lady Detectives,Hannah Hendy,2021,Paperback,5.89,10.83
648,Mbappe (Ultimate Football Heroes - the No. 1 football series),Matt & Tom Oldfield,2018,Paperback,7.83,8.42
649,The Daily Laws,Robert Greene,2021,Paperback,18.14,19.26
650,Do Not Open This Book,Andy Lee,2018,Paperback,8.23,9.63
657,Brain Games For Clever Kids (R),Gareth Moore,2014,Paperback,6.01,7.99
659,Ninja Kid 1-8: the Amazing Ninja Pack!,Anh Do,2022,Paperback,50.94,61.23
660,Life: What Nat To Do,Nat's What I Reckon,2022,Hardback,21.12,29.99
661,The Prison Healer,Lynette Noni,2023,Paperback,12.17,13.6
664,Wildflower Watercolor,Sushma Hegde,2023,Paperback,20.58,22.99
665,Classroom of the Elite: Year 2 (Light Novel) Vol. 4,Syougo Kinugasa,2023,Paperback,14.51,14.99
667,Do a Powerbomb,Daniel Warren Johnson,2023,Paperback,22.37,24.99
669,The Promise,Damon Galgut,2022,Paperback,11.42,12.03
673,What I Wish People Knew About Dementia,Wendy Mitchell,2023,Paperback,11.16,12.03
674,Piranesi,Susanna Clarke,2021,Paperback,10.36,10.83
675,The Montessori Baby,Simone Davies,2021,Paperback,16.99,19.95
676,The Montessori Toddler,Simone Davies,2019,Paperback,16.25,19.95
677,All The Lovers In The Night,Mieko Kawakami,2022,Paperback,16.03,18.06
680,Principles,Ray Dalio,2017,Hardback,30.0,32.5
682,Relentless,Tim S. Grover,2014,Paperback,12.37,17.99
683,The Other Side,Jennifer Higgie,2023,Hardback,20.96,26.5
685,How the King of Elfhame Learned to Hate Stories (The Folk of the Air series),Holly Black,2020,Hardback,17.56,20.47
688,Children of Time,Adrian Tchaikovsky,2016,Paperback,13.76,14.95
689,Timeless Textured Baby Crochet,Vita Apala,2023,Paperback,22.37,24.99
690,Heartstopper Volume 4,Alice Oseman,2021,Paperback,12.81,13.24
691,Heartstopper Volume 3,Alice Oseman,2020,Paperback,12.23,13.24
692,Asterix: How Obelix Fell Into The Magic Potion,Rene Goscinny,2010,Paperback,11.3,12.99
697,The Salt Path,Raynor Winn,2019,Paperback,10.99,13.24
698,The Complete Short Stories,Roald Dahl,2013,Paperback,17.72,32.75
700,The Awe of God,John Bevere,2023,Hardback,27.56,28.99
702,Polyvagal Card Deck,Deb Dana,2022,Cards,17.85,18.95
703,"Crucial Conversations: Tools for Talking When Stakes are High, Third Edition",Joseph Grenny,2021,Paperback,17.23,22.0
704,I Know Why The Caged Bird Sings,Maya Angelou,2018,Paperback,9.71,14.22
705,Show Your Work!,Austin Kleon,2014,Paperback,11.55,14.95
706,The Five People You Meet In Heaven,Mitch Albom,2005,Paperback,8.75,12.64
707,Vertical Growth - How Self-Awareness Transforms Leaders and Organisations,Michael Bunting,2022,Paperback,15.83,21.0
711,The Prince,Niccolò Machiavelli,2000,Paperback,3.8,4.0
713,The Woman Destroyed,Simone de Beauvoir,1987,Paperback,14.9,17.0
715,The Ministry for the Future,Kim Stanley Robinson,2021,Paperback,11.58,12.03
716,My Killer Vacation,Tessa Bailey,2022,Paperback,9.41,12.03
717,Mistakes Were Made,Meryl Wilsner,2022,Paperback,9.94,12.03
718,Of Mice and Men,Mr John Steinbeck,2023,Hardback,11.58,12.03
719,Diary of a Wimpy Kid: Diper OEverloede (Book 17),Jeff Kinney,2022,Hardback,14.81,15.65
726,A New Earth,Eckhart Tolle,2009,Paperback,13.63,19.75
727,Secretly Yours,Tessa Bailey,2023,Paperback,11.37,17.99
728,These Violent Delights,Micah Nemerever,2021,Paperback,16.64,17.99
729,The Forgotten Bookshop in Paris,Daisy Wood,2023,Paperback,11.39,16.99
730,Believe Me,Tahereh Mafi,2021,Paperback,10.42,10.83
737,"Elden Ring Official Strategy Guide, Vol. 2 : Shards of the Shattering",Future Press,2023,Hardback,43.12,48.17
739,"Hirano and Kagiura, Vol. 2 (manga)",Shou Harusono,2023,Paperback,11.64,13.0
741,"Death March to the Parallel World Rhapsody, Vol. 18 (light novel)",Hiro Ainana,2023,Paperback,13.47,15.0
742,"Bungo Stray Dogs: Dead Apple, Vol. 2",Bungo Stray Dogs DA Partners,2023,Paperback,12.56,13.0
743,"Chainsaw Man, Vol. 12",Tatsuki Fujimoto,2023,Paperback,8.94,9.99
744,Look Back,Tatsuki Fujimoto,2022,Paperback,11.11,12.99
745,"Chainsaw Man, Vol. 9",Tatsuki Fujimoto,2022,Paperback,8.9,9.99
746,"Chainsaw Man, Vol. 5",Tatsuki Fujimoto,2021,Paperback,9.43,9.99
749,The Molecule of More,Daniel Z. Lieberman,2019,Paperback,13.97,19.95
752,Pattern Magic,Tomoko Nakamichi,2010,Paperback,18.64,24.95
755,Capitalist Realism (New Edition) - Is there no alternative?,Mark Fisher,2022,Paperback,11.87,14.95
756,Building a Second Brain,Tiago Forte,2022,Paperback,14.27,18.06
759,How to Talk so Kids Will Listen and Listen so Kids Will Talk,Adele Faber,2022,Paperback,11.88,15.65
761,Lonely Planet Morocco,Lonely Planet,2021,Paperback,19.59,27.99
763,The Magic of Thinking Big,David J Schwartz,2016,Paperback,14.4,15.65
766,Rest is Resistance,Tricia Hersey,2022,Paperback,20.07,20.47
768,3 Minute Positivity Journal,Kristen Butler,2021,Paperback,11.89,16.99
769,In My Dreams I Hold a Knife,Ashley Winstead,2022,Paperback,11.01,16.99
770,Teenage Mutant Ninja Turtles: The Last Ronin,Kevin Eastman,2022,Hardback,26.57,29.99
772,DARLING in the FRANXX Vol. 5-6,Code:000,2022,Paperback,15.81,19.99
773,The 6 Types of Working Genius,Patrick M. Lencioni,2022,Hardback,21.18,25.0
775,The Bhagavad Gita,Eknath Easwaran,2007,Paperback,11.59,11.95
776,Healing Back Pain (Reissue Edition),John E. Sarno,2018,Paperback,7.84,9.99
777,Gleanings,Neal Shusterman,2022,Paperback,10.29,10.83
778,Seven Days in June,Tia Williams,2022,Paperback,9.75,12.03
780,Green Living Made Easy,Nancy Birtwhistle,2022,Hardback,16.67,22.95
781,Harry Potter and the Prisoner of Azkaban: MinaLima Edition,J.K. Rowling,2023,Hardback,43.13,48.19
782,You Don't Know What War Is,Yeva Skalietska,2022,Paperback,11.48,12.03
783,Swimming in the Dark,Tomasz Jedrowski,2021,Paperback,10.53,10.83
784,The 57 Bus,Dashka Slater,2018,Paperback,8.84,9.63
786,This is Going to Hurt,Adam Kay,2018,Paperback,11.45,12.03
790,Why We Sleep,Matthew Walker,2018,Paperback,16.51,18.0
791,The Conscious Parent,Dr Shefali Tsabary,2015,Paperback,15.27,20.47
792,The Light Fantastic,Terry Pratchett,2014,Hardback,13.81,18.06
793,Soul Music,Terry Pratchett,2013,Hardback,14.93,24.99
794,The Queen of Nothing (The Folk of the Air #3),Holly Black,2020,Paperback,10.23,10.83
797,Misery,Stephen King,2011,Paperback,17.15,18.25
800,"Slam Dunk, Vol. 1",Takehiko Inoue,2018,Paperback,9.45,9.99
801,Love on the Brain,Ali Hazelwood,2022,Paperback,9.76,10.83
802,The Squirrels Who Squabbled,Rachel Bright,2018,Paperback,7.8,8.42
803,Unite Me,Tahereh Mafi,2019,Paperback,10.13,10.83
805,Medical Medium Brain Saver,Anthony William,2022,Hardback,34.99,49.99
806,Wisdom of the Oracle Divination Cards,Colette Baron-Reid,2017,Cards,16.79,23.99
807,A Heart That Works,Rob Delaney,2022,Hardback,18.93,20.47
808,Fairy Tale,Stephen King,2022,Hardback,23.34,26.5
810,The Spanish Love Deception,Elena Armas,2021,Paperback,10.46,10.83
813,The Atlas Six,Olivie Blake,2022,Hardback,16.6,25.99
814,Shuna's Journey,Hayao Miyazaki,2022,Hardback,25.1,27.99
815,The Last Diet.,Shahroo Izadi,2020,Paperback,20.23,21.99
818,"Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, Text Revision (DSM-5-TR (TM))",American Psychiatric Association,2022,Paperback,138.78,170.0
820,Trans,Helen Joyce,2022,Paperback,12.29,17.95
821,And Still I Rise,Dr Maya Angelou,1986,Paperback,7.92,14.22
823,Keys From the Golden Vault (Dungeons & Dragons Adventure Book),"Wizards, RPG Team",2023,Hardback,47.03,49.95
824,The Making of a Manager,Julie Zhuo,2019,Paperback,16.35,18.06
826,The Will to Change,Bell Hooks,2005,Paperback,12.59,17.99
830,The Way of Kings Part Two,Brandon Sanderson,2011,Paperback,11.42,20.25
831,On Connection,Kae Tempest,2022,Paperback,8.72,10.95
832,Kitchen,Banana Yoshimoto,2018,Paperback,10.33,12.03
835,Beyond Good and Evil,Friedrich Nietzsche,2000,Paperback,4.7,5.0
836,Meditations,Marcus Aurelius,1998,Paperback,3.94,4.0
837,All Quiet on the Western Front,Erich Maria Remarque,1995,Paperback,8.6,8.99
839,Holes,Louis Sachar,2011,Paperback,8.74,8.99
841,The Terraformers,Annalee Newitz,2023,Paperback,9.61,12.03
842,The Shadow of the Gods,John Gwynne,2022,Paperback,11.43,12.03
844,Part of Your World,Abby Jimenez,2022,Paperback,10.02,12.03
845,Bridgerton: Romancing Mr Bridgerton (Bridgertons Book 4),Julia Quinn,2021,Paperback,9.13,10.83
848,Interaction of Color,Josef Albers,2020,Paperback,19.37,19.95
849,The Art of Gathering,Priya Parker,2019,Paperback,12.53,13.24
850,Manifest: Dive Deeper,Roxie Nafousi,2023,Hardback,19.79,20.47
852,The Ice Palace,Tarjei Vesaas,2018,Paperback,9.88,10.83
853,Pedagogy of the Oppressed,Paulo Freire,2017,Paperback,10.68,12.03
854,The Great Gatsby,F. Scott Fitzgerald,2014,Paperback,7.01,11.95
855,Isadora Moon and the New Girl,Harriet Muncaster,2023,Paperback,7.42,8.42
861,The Haunting of Hill House,Shirley Jackson,2009,Paperback,11.22,22.0
862,Blueberries for Sal,Robert McCloskey,2016,Paperback,6.29,8.99
863,The Old Man and the Sea,Ernest Hemingway,1994,Paperback,8.49,13.25
864,"Guns, Germs and Steel",Jared Diamond,2000,Paperback,15.35,22.0
865,In Praise of Shadows,Junichiro Tanizaki,2006,Paperback,8.48,16.0
866,The 4-Hour Work Week,Timothy Ferriss,2013,Paperback,18.19,26.75
867,Journey to the Heart,Melody Beattie,2010,Paperback,12.13,16.99
868,The Subtle Art of Not Giving a F*ck,Mark Manson,2016,Hardback,19.86,26.99
869,The Year of Magical Thinking,Joan Didion,2021,Paperback,11.38,12.03
872,The Wilful Princess and the Piebald Prince,Robin Hobb,2017,Paperback,10.34,10.83
874,Looking for Alaska,John Green,2015,Paperback,10.5,10.83
876,Play It As It Lays,Joan Didion,2011,Paperback,10.11,19.5
877,The Year of Magical Thinking,Joan Didion,2011,Paperback,12.29,17.75
881,"Bungo Stray Dogs, Vol. 7 (light novel)",Kafka Asagiri,2022,Paperback,12.53,15.0
882,"Re:ZERO -Starting Life in Another World-, Vol. 21 (light novel)",Tappei Nagatsuki,2023,Paperback,13.57,15.0
883,"86 - EIGHTY SIX, Vol. 4 (light novel)",Asato Asato,2020,Paperback,12.99,14.0
884,"One-Punch Man, Vol. 24",ONE,2022,Paperback,9.55,9.99
887,"Jujutsu Kaisen, Vol. 4",Gege Akutami,2020,Paperback,9.36,9.99
890,My Mouth is a Volcano!,Julia Cook,2005,Paperback,10.44,10.95
891,"Different, Not Less",Chloe Hayden,2023,Paperback,17.25,19.99
892,Cursed Bunny,Bora Chung,2021,Paperback,14.65,15.65
893,Conform To Deform,Doyle Wesley,2023,Paperback,20.15,24.95
895,The Roots of Love,"Svagito, R Liebermeister",2006,Paperback,26.44,32.99
896,Born to Run,Christopher McDougall,2010,Paperback,10.12,12.03
897,Pride and Prejudice,Jane Austen,1997,Paperback,5.36,6.99
898,The Magic,Rhonda Byrne,2012,Paperback,12.51,15.65
899,Proust and the Squid,Maryanne Wolf,2008,Paperback,8.13,12.03
901,Being Mortal,Atul Gawande,2015,Paperback,12.22,13.24
902,The Trap,David Icke,2022,Paperback,16.81,20.0
905,The Iron Kingdom,Nick Kyme,2023,Paperback,14.32,16.0
906,Lonely Planet Sicily,Lonely Planet,2022,Paperback,16.22,21.99
907,The Rose Oracle,Rebecca Campbell,2022,Cards,17.24,26.99
908,Outsmart Your Brain,Daniel Willingham,2023,Paperback,16.74,20.47
909,Cribsheet,Emily Oster,2020,Paperback,12.39,13.24
910,The Book of Lost Names,Kristin Harmel,2021,Paperback,8.18,10.83
911,Metamorphosis,Robert Douglas-Fairhurst,2023,Hardback,21.97,22.88
912,Spice Kitchen,Sanjay Aggarwal,2023,Hardback,29.09,32.5
913,Paradise Rot,Jenny Hval,2018,Paperback,13.67,19.95
914,Neymar (Ultimate Football Heroes - the No. 1 football series),Matt & Tom Oldfield,2018,Paperback,6.68,10.99
923,In Love,Amy Bloom,2023,Paperback,11.13,12.03
924,Work Your Light Oracle Cards,Rebecca Campbell,2020,Cards,16.13,21.99
927,Mastery,Robert Greene,2012,Paperback,24.11,33.75
928,Pattern Magic 3,Tomoko Nakamichi,2018,Paperback,17.5,30.0
930,Maths Games for Clever Kids (R),Gareth Moore,2018,Paperback,5.86,7.22
931,The Gene Keys,Richard Rudd,2013,Paperback,27.95,32.95
932,The Deal,Elle Kennedy,2015,Paperback,13.58,16.99
935,ACT for Treating Children,Tamar D. Black,2022,Paperback,33.04,54.95
939,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 21,Rifujin Na Magonote,2023,Paperback,12.52,13.99
940,Thousand Autumns: Qian Qiu (Novel) Vol. 2,Meng Xi Shi,2023,Paperback,17.89,19.99
941,The Case Files of Jeweler Richard (Light Novel) Vol. 3,Nanako Tsujimura,2023,Paperback,13.41,14.99
942,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5,Mo Xiang Tong Xiu,2023,Paperback,17.89,19.99
943,"The Girl From the Other Side: Siuil, a Run Deluxe Edition I (Vol. 1-3 Hardcover Omnibus)",Nagabe,2022,Hardback,35.96,42.99
945,Flour Water Salt Yeast,Ken Forkish,2017,Hardback,31.46,35.0
946,Thinking in Systems,Donella Meadows,2008,Paperback,14.23,19.95
947,Healing Trauma,Peter Levine,2008,Mixed media product,10.67,14.95
948,Ethereal Visions,Matt Hughes,2018,Cards,20.28,23.95
949,Kingdom of Ash (Miniature Character Collection),Sarah J. Maas,2019,Paperback,13.7,14.99
950,Regretting You,Colleen Hoover,2019,Paperback,11.59,14.95
952,My Body,Emily Ratajkowski,2022,Paperback,9.31,12.03
953,The Body,Stephen King,2021,Paperback,7.66,9.63
954,Lady in Waiting,Anne Glenconner,2020,Paperback,10.45,13.24
955,Kingdom of the Wicked,Kerri Maniscalco,2021,Paperback,9.4,10.83
956,I Will Teach You To Be Rich (2nd Edition),Ramit Sethi,2020,Paperback,16.26,20.47
958,Spoon-Fed,Tim Spector,2022,Paperback,12.45,17.95
963,Clean & Green,Nancy Birtwhistle,2021,Hardback,17.4,24.99
965,The Storm Sister,Lucinda Riley,2019,Paperback,11.1,12.03
967,A Court of Frost and Starlight,Sarah J. Maas,2020,Paperback,10.24,10.83
969,All the Living and the Dead,Hayley Campbell,2023,Paperback,10.44,10.83
970,Keep Going,Austin Kleon,2019,Paperback,11.43,12.95
971,The Complete Guide to Memory,Richard Restak,2022,Hardback,23.55,26.99
972,If Cats Disappeared From The World,Genki Kawamura,2018,Paperback,11.01,12.03
973,The Smartest Giant in Town,Julia Donaldson,2016,Paperback,8.96,12.25
974,Monkey Puzzle,Julia Donaldson,2016,Paperback,9.83,12.25
975,A Squash and a Squeeze,Julia Donaldson,2016,Paperback,9.08,12.75
977,Britt-Marie Was Here,Fredrik Backman,2016,Paperback,9.59,12.03
978,Mistborn: Secret History,Brandon Sanderson,2019,Hardback,10.83,13.24
979,The Left Hand of Darkness,Ursula K. Le Guin,2017,Paperback,9.6,12.03
980,The Final Empire,Brandon Sanderson,2016,Hardback,19.47,22.88
981,Pyramids,Terry Pratchett,2014,Hardback,14.49,24.99
982,Parable of the Sower,Octavia E. Butler,2019,Paperback,9.45,12.03
984,The Stolen Heir,Holly Black,2023,Hardback,18.36,20.47
985,Hopeless,Colleen Hoover,2015,Paperback,11.13,13.0
990,The Paper Dolls,Julia Donaldson,2013,Paperback,9.8,11.1
991,Red Rising,Pierce Brown,2014,Paperback,9.88,12.03
992,Every Good Endeavour,Timothy Keller,2014,Paperback,9.97,13.24
994,"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",Michael Watkins,2013,Hardback,24.58,30.0
997,Look Inside an Airport,Rob Lloyd Jones,2014,Board book,15.23,15.79
1003,Catching Fire,Suzanne Collins,2012,Paperback,11.31,18.0
1004,The Hunger Games,Suzanne Collins,2012,Paperback,11.36,18.0
1006,We're Going on a Bear Hunt,Michael Rosen,2016,Hardback,6.61,7.23
1010,Angel Answers Oracle Cards,Radleigh Valentine,2020,Cards,19.42,19.99
1011,Breaking The Habit of Being Yourself,Dr. Joe Dispenza,2013,Paperback,16.73,16.99
1012,Archetype Cards,Caroline Myss,2020,Cards,17.07,29.99
1013,"Praying Like Monks, Living Like Fools",Tyler Staton,2022,Paperback,13.69,18.06
1014,Foxglove,Adalyn Grace,2023,Hardback,18.34,20.47
1015,Still Points,Brother Richard Hendrick,2023,Hardback,15.94,22.99
1016,Ten Things I Hate About Me,Joe Tracini,2022,Hardback,16.42,26.99
1017,"Forever, Interrupted",Taylor Jenkins Reid,2023,Paperback,10.08,10.83
